item,version_group,version,type,subtype,location_area_pokedb,location_detail,is_repeatable,is_hidden,is_guaranteed,quantity,probability,cost_amount,currency,required_badge,unlock_condition,notes,source
razz-berry,legends-arceus,,request,,jubilife-village,"Jubilife Village (×5; reward for completing Request 19: ""A Peculiar Ponyta"")",0,0,1,5,,,,,,,bulbapedia
razz-berry,legends-arceus,,request,,tombolo-walk,"Tombolo Walk (×5; reward for completing Request 55: ""Poor, Peckish Piplup"")",0,0,1,5,,,,,,,bulbapedia
razz-berry,legends-arceus,,berry-tree,,,"Red berry trees (Obsidian Fieldlands, Crimson Mirelands, Cobalt Coastlands, Coronet Highlands, Alabaster Icelands)",1,0,1,,,,,,,,bulbapedia
razz-berry,legends-arceus,,wild-pokemon,,,"Dropped by wild Eevee, Vaporeon, Jolteon, Flareon, Espeon, Umbreon, Leafeon, Glaceon, Sylveon, Happiny, Chansey, and Blissey",1,0,1,,,,,,,,bulbapedia
razz-berry,legends-arceus,,overworld,,,Farm (usual berry harvest),1,0,1,,,,,,,,bulbapedia
razz-berry,legends-arceus,,overworld,,ginkgo-guild-cart,Ginkgo Guild cart (×10; randomly sold by Ginter),1,0,1,10,,,,,,,bulbapedia
razz-berry,legends-arceus,,request,,ginkgo-guild-cart,"Ginkgo Guild cart (Tuli, after starting Mission 11: ""Scaling Perilous Heights"")",1,0,1,,,,,,,,bulbapedia
razz-berry,legends-arceus,,npc-gift,,practice-field,Practice field (random balloon minigame reward),1,0,1,,,,,,,,bulbapedia
razz-berry,legends-arceus,,npc-gift,,obsidian-fieldlands,Obsidian Fieldlands Balloon Race (random reward),1,0,1,,,,,,,,bulbapedia
nanab-berry,legends-arceus,,request,,jubilife-village,"Jubilife Village (×7; reward for completing Request 16: ""Strange Happenings at Midnight"")",0,0,1,7,,,,,,,bulbapedia
nanab-berry,legends-arceus,,berry-tree,,,"Pink berry trees (Obsidian Fieldlands, Cobalt Coastlands)",1,0,1,,,,,,,,bulbapedia
nanab-berry,legends-arceus,,wild-pokemon,,,"Dropped by wild Aipom, Ambipom, and Shellos",1,0,1,,,,,,,,bulbapedia
nanab-berry,legends-arceus,,overworld,,,Farm (usual berry harvest),1,0,1,,,,,,,,bulbapedia
nanab-berry,legends-arceus,,overworld,,ginkgo-guild-cart,Ginkgo Guild cart (×10; randomly sold by Ginter),1,0,1,10,,,,,,,bulbapedia
nanab-berry,legends-arceus,,overworld,,ginkgo-guild-cart,Ginkgo Guild cart (Tuli),1,0,1,,,,,,,,bulbapedia
pinap-berry,legends-arceus,,berry-tree,,,"Yellow berry trees (Obsidian Fieldlands, Cobalt Coastlands)",1,0,1,,,,,,,,bulbapedia
pinap-berry,legends-arceus,,wild-pokemon,,,Dropped by wild Gastrodon,1,0,1,,,,,,,,bulbapedia
pinap-berry,legends-arceus,,overworld,,,Farm (usual berry harvest),1,0,1,,,,,,,,bulbapedia
pinap-berry,legends-arceus,,overworld,,ginkgo-guild-cart,Ginkgo Guild cart (×10; randomly sold by Ginter),1,0,1,10,,,,,,,bulbapedia
pinap-berry,legends-arceus,,request,,ginkgo-guild-cart,"Ginkgo Guild cart (Tuli, after starting Mission 10: ""The Lordless Island"")",1,0,1,,,,,,,,bulbapedia
metal-coat,legends-arceus,,overworld,,trading-post,"Trading post (1,000 MP)",1,0,1,,,,,,,,bulbapedia
metal-coat,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Metallic Spread"")",1,0,1,,,,,,,,bulbapedia
metal-coat,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
splash-plate,legends-arceus,,request,,ginkgo-landing,"Ginkgo Landing (reward from Basculegion after giving him Basculegion Food during Mission 10: ""The Lordless Island"")",0,0,1,,,,,,,,bulbapedia
mind-plate,legends-arceus,,request,,,"Heights Camp (reward from Wyrdeer during Mission 7: ""The Frenzy of the Lord of the Woods"")",0,0,1,,,,,,,,bulbapedia
stone-plate,legends-arceus,,request,,grueling-grove,"Grueling Grove (reward for defeating the alpha Vespiquen during Mission 20: ""The Researcher of Myths"")",0,0,1,,,,,,,,bulbapedia
spooky-plate,legends-arceus,,request,,temple-of-sinnoh,"Temple of Sinnoh (reward for defeating Volo and Giratina during Mission 26: ""Seeking the Remaining Plates"")",0,0,1,,,,,,,,bulbapedia
protector,legends-arceus,,overworld,,trading-post,"Trading post (1,400 MP)",1,0,1,,,,,,,,bulbapedia
protector,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Unwieldy Armor"")",1,0,1,,,,,,,,bulbapedia
protector,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
electirizer,legends-arceus,,overworld,,trading-post,"Trading post (1,400 MP)",1,0,1,,,,,,,,bulbapedia
electirizer,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Electric Box"")",1,0,1,,,,,,,,bulbapedia
electirizer,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
magmarizer,legends-arceus,,overworld,,trading-post,"Trading post (1,400 MP)",1,0,1,,,,,,,,bulbapedia
magmarizer,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Magma Box"")",1,0,1,,,,,,,,bulbapedia
magmarizer,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
dubious-disc,legends-arceus,,overworld,,trading-post,"Trading post (1,400 MP)",1,0,1,,,,,,,,bulbapedia
dubious-disc,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Transparent Mechanism"")",1,0,1,,,,,,,,bulbapedia
dubious-disc,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
reaper-cloth,legends-arceus,,npc-gift,,jubilife-village,Jubilife Village (from Vessa for collecting 70 wisps),0,0,1,,,,,,,,bulbapedia
reaper-cloth,legends-arceus,,overworld,,trading-post,"Trading post (1,400 MP)",1,0,1,,,,,,,,bulbapedia
reaper-cloth,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Mysterious Cloth"")",1,0,1,,,,,,,,bulbapedia
reaper-cloth,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
razor-claw,legends-arceus,,overworld,,trading-post,"Trading post (1,400 MP)",1,0,1,,,,,,,,bulbapedia
razor-claw,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Mystery Claw"")",1,0,1,,,,,,,,bulbapedia
razor-claw,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
razor-fang,legends-arceus,,overworld,,trading-post,"Trading post (1,400 MP)",1,0,1,,,,,,,,bulbapedia
razor-fang,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Mystery Fang"")",1,0,1,,,,,,,,bulbapedia
razor-fang,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
secret-potion,legends-arceus,,npc-gift,,galaxy-hall,"Galaxy Hall (from Tomma, after speaking with Martia at the Diamond Settlement)",0,0,1,,,,,,,,bulbapedia
gracidea,legends-arceus,,request,,,"Fieldlands Camp (from Medi during Request 92: ""A Token of Gratitude"")",0,0,1,,,,,,,,bulbapedia
comet-shard,legends-arceus,,request,,galaxy-hall,"Galaxy Hall (×3; reward for completing Request 66: ""The Sea's Legend"")",0,0,1,3,,,,,,,bulbapedia
comet-shard,legends-arceus,,request,,,"Lake Valor (×3; reward for completing Request 89: ""The Diamond Clan's Treasure"")",0,0,1,3,,,,,,,bulbapedia
comet-shard,legends-arceus,,request,,pearl-settlement,"Pearl Settlement (×3; reward for completing Request 90: ""The Pearl Clan's Treasure"")",0,0,1,3,,,,,,,bulbapedia
comet-shard,legends-arceus,,request,,galaxy-hall,"Galaxy Hall (from Kamado, after completing Mission 25: ""The Plate of Prelude Beach"")",0,0,1,,,,,,,,bulbapedia
comet-shard,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
snowball,legends-arceus,,overworld,,,Snow piles (Alabaster Icelands),1,0,1,,,,,,,,bulbapedia
ice-stone,legends-arceus,,request,,diamond-settlement,"Diamond Settlement (reward for completing Request 107: ""Irida's Wish"")",0,0,1,,,,,,,,bulbapedia
ice-stone,legends-arceus,,overworld,,,Snow piles (Alabaster Icelands),1,0,1,,,,,,,,bulbapedia
ice-stone,legends-arceus,,overworld,,trading-post,"Trading post (1,000 MP)",1,0,1,,,,,,,,bulbapedia
ice-stone,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Snow-Patterned Rock"")",1,0,1,,,,,,,,bulbapedia
ice-stone,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
